"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"60000","All nationalities","2017001111","Nov. 2017","00416","Total of 21 major cities","65,891","33,157","32,734","80,013","42,050","37,963","78,477","41,884","36,593","1,536","166","1,370"
"60000","All nationalities","2017001111","Nov. 2017","01100","Sapporo-shi","5,059","2,413","2,646","3,193","1,593","1,600","2,684","1,406","1,278","509","187","322"
"60000","All nationalities","2017001111","Nov. 2017","04100","Sendai-shi","1,721","822","899","2,018","1,093","925","1,986","1,121","865","32","-28","60"
"60000","All nationalities","2017001111","Nov. 2017","11100","Saitama-shi","1,464","720","744","3,563","1,876","1,687","3,393","1,847","1,546","170","29","141"
"60000","All nationalities","2017001111","Nov. 2017","12100","Chiba-shi","908","490","418","2,347","1,308","1,039","2,303","1,225","1,078","44","83","-39"
"60000","All nationalities","2017001111","Nov. 2017","13100","Ku-area of Tokyo","23,567","12,005","11,562","23,487","12,160","11,327","22,413","11,856","10,557","1,074","304","770"
"60000","All nationalities","2017001111","Nov. 2017","14100","Yokohama-shi","5,508","2,785","2,723","7,649","4,058","3,591","7,640","4,179","3,461","9","-121","130"
"60000","All nationalities","2017001111","Nov. 2017","14130","Kawasaki-shi","1,461","766","695","5,136","2,748","2,388","5,021","2,723","2,298","115","25","90"
"60000","All nationalities","2017001111","Nov. 2017","14150","Sagamihara-shi","461","229","232","1,706","885","821","1,674","836","838","32","49","-17"
"60000","All nationalities","2017001111","Nov. 2017","15100","Niigata-shi","984","458","526","878","468","410","836","434","402","42","34","8"
"60000","All nationalities","2017001111","Nov. 2017","22100","Shizuoka-shi","601","307","294","878","473","405","826","459","367","52","14","38"
"60000","All nationalities","2017001111","Nov. 2017","22130","Hamamatsu-shi","1,196","598","598","1,134","646","488","1,109","668","441","25","-22","47"
