"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"61000","Japanese","2018000202","Feb. 2018","22100","Shizuoka-shi","580","294","286","887","499","388","950","530","420","-63","-31","-32"
"61000","Japanese","2018000202","Feb. 2018","22130","Hamamatsu-shi","1,125","564","561","1,003","585","418","1,005","547","458","-2","38","-40"
"61000","Japanese","2018000202","Feb. 2018","23100","Nagoya-shi","3,832","1,972","1,860","4,975","2,658","2,317","4,820","2,697","2,123","155","-39","194"
"61000","Japanese","2018000202","Feb. 2018","26100","Kyoto-shi","2,201","1,054","1,147","2,494","1,243","1,251","2,886","1,445","1,441","-392","-202","-190"
"61000","Japanese","2018000202","Feb. 2018","27100","Osaka-shi","4,630","2,304","2,326","7,085","3,650","3,435","6,241","3,307","2,934","844","343","501"
"61000","Japanese","2018000202","Feb. 2018","27140","Sakai-shi","807","394","413","1,460","785","675","1,568","827","741","-108","-42","-66"
"61000","Japanese","2018000202","Feb. 2018","28100","Kobe-shi","1,946","904","1,042","2,646","1,369","1,277","2,568","1,334","1,234","78","35","43"
"61000","Japanese","2018000202","Feb. 2018","33100","Okayama-shi","841","423","418","1,293","663","630","1,293","686","607","0","-23","23"
"61000","Japanese","2018000202","Feb. 2018","34100","Hiroshima-shi","1,852","973","879","2,053","1,103","950","1,919","1,021","898","134","82","52"
"61000","Japanese","2018000202","Feb. 2018","40100","Kitakyushu-shi","1,136","578","558","1,436","746","690","1,477","784","693","-41","-38","-3"
"61000","Japanese","2018000202","Feb. 2018","40130","Fukuoka-shi","3,000","1,471","1,529","4,190","2,065","2,125","3,806","2,005","1,801","384","60","324"
"61000","Japanese","2018000202","Feb. 2018","43100","Kumamoto-shi","1,050","509","541","1,266","668","598","1,325","679","646","-59","-11","-48"
"61000","Japanese","2018000101","Jan. 2018","00000","Japan","166,458","85,422","81,036","130,059","71,621","58,438","130,059","71,621","58,438","0","0","0"
"61000","Japanese","2018000101","Jan. 2018","01000","Hokkaido","8,891","4,566","4,325","2,262","1,355","907","2,723","1,537","1,186","-461","-182","-279"
"61000","Japanese","2018000101","Jan. 2018","02000","Aomori-ken","813","384","429","802","483","319","1,014","577","437","-212","-94","-118"
"61000","Japanese","2018000101","Jan. 2018","03000","Iwate-ken","912","465","447","857","485","372","967","524","443","-110","-39","-71"
"61000","Japanese","2018000101","Jan. 2018","04000","Miyagi-ken","3,187","1,577","1,610","2,245","1,308","937","2,191","1,259","932","54","49","5"
